Red,Green,Blue
0.433,0.317,0.25
0.433,0.317,0.25
0.43,0.315,0.255
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.437,0.311,0.251
0.434,0.313,0.253
0.434,0.313,0.253
0.437,0.311,0.251
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.437,0.311,0.251
0.437,0.311,0.251
0.437,0.311,0.251
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
0.434,0.313,0.253
