Red,Green,Blue
0.411,0.316,0.272
0.415,0.314,0.27
0.419,0.319,0.262
0.423,0.319,0.258
0.43,0.315,0.255
0.432,0.32,0.249
0.437,0.316,0.247
0.439,0.317,0.244
0.445,0.313,0.242
0.443,0.319,0.238
0.442,0.321,0.237
0.441,0.319,0.239
0.439,0.321,0.241
0.439,0.321,0.241
0.439,0.321,0.241
0.439,0.323,0.238
0.442,0.321,0.237
0.44,0.325,0.236
0.44,0.325,0.236
0.445,0.319,0.236
0.442,0.321,0.237
0.443,0.323,0.234
0.44,0.321,0.238
0.44,0.321,0.238
0.446,0.321,0.233
0.445,0.319,0.236
0.443,0.323,0.234
0.443,0.323,0.234
0.44,0.321,0.238
0.44,0.321,0.238
0.443,0.32,0.237
0.441,0.323,0.236
0.444,0.321,0.235
0.445,0.325,0.23
0.447,0.322,0.231
0.447,0.32,0.234
0.446,0.323,0.231
0.446,0.323,0.231
0.446,0.323,0.231
0.444,0.321,0.235
0.446,0.323,0.231
0.443,0.325,0.232
0.443,0.325,0.232
0.441,0.328,0.231
0.446,0.321,0.233
0.445,0.325,0.23
0.445,0.325,0.23
0.44,0.33,0.23
0.443,0.323,0.234
0.443,0.325,0.232
0.443,0.325,0.232
0.44,0.326,0.233
0.443,0.325,0.232
0.443,0.325,0.232
0.443,0.325,0.232
0.446,0.323,0.231
0.446,0.323,0.231
0.446,0.323,0.231
0.446,0.323,0.231
0.447,0.325,0.228
0.446,0.323,0.231
0.444,0.327,0.23
0.449,0.321,0.23
0.444,0.323,0.232
0.447,0.322,0.231
0.447,0.322,0.231
0.447,0.325,0.228
0.446,0.323,0.231
0.446,0.321,0.233
0.443,0.328,0.229
0.445,0.325,0.23
0.444,0.323,0.233
0.446,0.323,0.231
0.444,0.326,0.23
0.444,0.326,0.23
0.443,0.324,0.232
0.446,0.321,0.234
0.44,0.326,0.234
0.443,0.324,0.232
0.446,0.321,0.234
0.446,0.321,0.234
0.446,0.321,0.234
0.443,0.324,0.232
0.443,0.324,0.232
0.443,0.324,0.232
0.446,0.323,0.231
0.449,0.321,0.23
0.447,0.319,0.234
0.444,0.323,0.233
0.444,0.323,0.233
0.447,0.319,0.234
0.449,0.319,0.232
0.449,0.319,0.232
0.451,0.319,0.231
0.448,0.322,0.23
0.449,0.319,0.232
0.449,0.319,0.232
0.448,0.322,0.23
0.448,0.322,0.23
0.448,0.317,0.235
