Red,Green,Blue
0.26,0.452,0.288
0.255,0.452,0.293
0.257,0.456,0.286
0.257,0.456,0.286
0.257,0.451,0.291
0.257,0.456,0.286
0.257,0.455,0.287
0.254,0.453,0.294
0.229,0.433,0.338
0.239,0.391,0.37
0.277,0.338,0.385
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.281,0.328,0.391
0.277,0.338,0.385
0.273,0.333,0.394
0.279,0.338,0.382
0.264,0.361,0.375
0.244,0.389,0.367
0.24,0.404,0.356
0.231,0.419,0.35
0.234,0.414,0.351
0.226,0.429,0.346
0.226,0.429,0.346
0.233,0.408,0.359
0.237,0.402,0.361
0.231,0.419,0.35
0.233,0.434,0.333
0.237,0.441,0.322
0.25,0.449,0.301
0.256,0.453,0.291
0.256,0.458,0.286
0.259,0.454,0.288
0.254,0.454,0.293
0.254,0.454,0.293
0.256,0.458,0.286
0.257,0.451,0.291
0.259,0.454,0.288
0.257,0.456,0.286
0.256,0.454,0.29
0.256,0.454,0.29
0.257,0.456,0.286
0.256,0.454,0.29
0.256,0.454,0.29
0.256,0.454,0.29
0.256,0.454,0.29
0.256,0.454,0.29
0.255,0.452,0.293
0.256,0.454,0.29
0.257,0.456,0.286
0.255,0.452,0.293
0.252,0.456,0.291
0.256,0.454,0.29
0.256,0.454,0.29
0.255,0.452,0.293
0.256,0.454,0.29
0.257,0.456,0.286
0.258,0.45,0.292
0.258,0.455,0.287
0.257,0.452,0.29
0.257,0.452,0.29
0.257,0.452,0.29
0.258,0.45,0.292
0.255,0.452,0.293
0.26,0.452,0.288
0.258,0.455,0.287
0.256,0.454,0.29
0.254,0.454,0.293
0.269,0.343,0.388
0.29,0.323,0.387
0.281,0.328,0.391
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.279,0.328,0.393
0.276,0.328,0.397
0.271,0.322,0.407
0.276,0.328,0.397
0.271,0.322,0.407
0.263,0.333,0.404
0.263,0.333,0.404
0.268,0.321,0.411
0.268,0.321,0.411
0.268,0.321,0.411
0.268,0.321,0.411
0.268,0.321,0.411
0.263,0.333,0.404
0.263,0.333,0.404
0.263,0.333,0.404
0.263,0.333,0.404
