Red,Green,Blue
0.369,0.296,0.334
0.369,0.296,0.335
0.37,0.296,0.334
0.37,0.295,0.334
0.374,0.293,0.333
0.374,0.294,0.333
0.371,0.295,0.334
0.372,0.295,0.333
0.374,0.294,0.333
0.375,0.293,0.332
0.377,0.292,0.331
0.377,0.292,0.331
0.377,0.292,0.331
0.378,0.291,0.331
0.378,0.291,0.332
0.377,0.291,0.332
0.375,0.291,0.333
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.375,0.291,0.334
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.336
0.373,0.291,0.336
0.373,0.291,0.335
0.373,0.291,0.336
0.373,0.291,0.336
0.373,0.291,0.336
0.373,0.291,0.336
0.373,0.291,0.335
0.373,0.291,0.336
0.374,0.291,0.335
0.373,0.291,0.336
0.374,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.336
0.373,0.291,0.336
0.373,0.291,0.335
0.374,0.292,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.374,0.291,0.335
0.373,0.291,0.335
0.373,0.291,0.335
0.374,0.291,0.335
0.373,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.375,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.375,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.292,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.374,0.291,0.335
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
0.375,0.291,0.334
