Red,Green,Blue
0.433,0.274,0.293
0.433,0.274,0.293
0.43,0.272,0.297
0.428,0.277,0.296
0.428,0.277,0.296
0.428,0.277,0.296
0.429,0.276,0.295
0.429,0.276,0.295
0.429,0.276,0.295
0.429,0.276,0.295
0.429,0.276,0.295
0.429,0.276,0.295
0.429,0.276,0.295
0.429,0.276,0.295
0.426,0.277,0.297
0.426,0.277,0.297
0.426,0.277,0.297
0.426,0.277,0.297
0.429,0.276,0.295
0.429,0.276,0.295
0.426,0.277,0.297
0.431,0.275,0.294
0.429,0.276,0.295
0.426,0.277,0.297
0.428,0.276,0.296
0.431,0.275,0.294
0.428,0.276,0.296
0.431,0.275,0.294
0.435,0.273,0.292
0.431,0.275,0.294
0.428,0.276,0.296
0.431,0.275,0.294
0.428,0.276,0.296
0.431,0.275,0.294
0.428,0.276,0.296
0.435,0.273,0.292
0.429,0.276,0.295
0.425,0.275,0.301
0.431,0.275,0.294
0.428,0.276,0.296
0.425,0.281,0.294
0.426,0.277,0.297
0.422,0.279,0.299
0.428,0.276,0.296
0.428,0.276,0.296
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.428,0.276,0.296
0.428,0.276,0.296
0.426,0.277,0.297
0.422,0.279,0.299
0.428,0.276,0.296
0.422,0.279,0.299
0.426,0.277,0.297
0.422,0.279,0.299
0.426,0.277,0.297
0.422,0.279,0.299
0.425,0.275,0.301
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.426,0.277,0.297
0.426,0.277,0.297
0.426,0.277,0.297
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.426,0.277,0.297
0.426,0.277,0.297
0.422,0.279,0.299
0.425,0.281,0.294
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.426,0.277,0.297
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.426,0.277,0.297
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
0.422,0.279,0.299
