Red,Green,Blue
0.467,0.272,0.26
0.477,0.267,0.256
0.494,0.259,0.247
0.508,0.249,0.243
0.521,0.245,0.234
0.528,0.241,0.231
0.531,0.24,0.23
0.533,0.239,0.228
0.53,0.242,0.227
0.528,0.244,0.228
0.528,0.241,0.231
0.528,0.241,0.231
0.526,0.242,0.232
0.521,0.245,0.234
0.521,0.247,0.232
0.521,0.247,0.232
0.519,0.249,0.233
0.519,0.249,0.233
0.519,0.246,0.235
0.516,0.247,0.237
0.516,0.247,0.237
0.516,0.247,0.237
0.516,0.247,0.237
0.514,0.249,0.238
0.514,0.249,0.238
0.514,0.249,0.238
0.514,0.249,0.238
0.514,0.249,0.238
0.514,0.249,0.238
0.514,0.251,0.235
0.511,0.25,0.239
0.514,0.249,0.238
0.514,0.251,0.235
0.514,0.251,0.235
0.514,0.251,0.235
0.514,0.251,0.235
0.514,0.251,0.235
0.514,0.251,0.235
0.508,0.254,0.238
0.506,0.256,0.239
0.506,0.256,0.239
0.503,0.257,0.24
0.503,0.257,0.24
0.503,0.257,0.24
0.508,0.254,0.238
0.511,0.253,0.236
0.508,0.251,0.24
0.508,0.254,0.238
0.508,0.254,0.238
0.508,0.254,0.238
0.506,0.256,0.239
0.506,0.256,0.239
0.506,0.253,0.242
0.506,0.256,0.239
0.506,0.256,0.239
0.506,0.256,0.239
0.506,0.256,0.239
0.506,0.256,0.239
0.506,0.256,0.239
0.508,0.251,0.24
0.506,0.253,0.242
0.508,0.251,0.24
0.506,0.253,0.242
0.506,0.253,0.242
0.506,0.253,0.242
0.508,0.251,0.24
0.508,0.251,0.24
0.506,0.256,0.239
0.506,0.256,0.239
0.508,0.254,0.238
0.508,0.254,0.238
0.508,0.251,0.24
0.506,0.253,0.242
0.506,0.253,0.242
0.506,0.256,0.239
0.508,0.251,0.24
0.506,0.253,0.242
0.506,0.253,0.242
0.506,0.253,0.242
0.508,0.251,0.24
0.506,0.253,0.242
0.506,0.253,0.242
0.503,0.254,0.243
0.503,0.254,0.243
0.506,0.253,0.242
0.506,0.253,0.242
0.503,0.254,0.243
0.506,0.253,0.242
0.503,0.254,0.243
0.506,0.253,0.242
0.503,0.257,0.24
0.506,0.253,0.242
0.506,0.253,0.242
0.506,0.253,0.242
0.503,0.254,0.243
0.503,0.254,0.243
0.503,0.254,0.243
0.503,0.254,0.243
0.503,0.254,0.243
0.503,0.254,0.243
