Red,Green,Blue
0.347,0.365,0.288
0.343,0.367,0.29
0.345,0.368,0.287
0.347,0.365,0.288
0.345,0.368,0.287
0.345,0.368,0.287
0.345,0.368,0.287
0.345,0.368,0.287
0.343,0.367,0.29
0.347,0.365,0.288
0.343,0.367,0.29
0.347,0.365,0.288
0.347,0.365,0.288
0.343,0.367,0.29
0.343,0.367,0.29
0.345,0.368,0.287
0.345,0.368,0.287
0.347,0.364,0.289
0.347,0.364,0.289
0.345,0.368,0.287
0.343,0.372,0.285
0.343,0.366,0.291
0.339,0.368,0.292
0.345,0.368,0.287
0.341,0.371,0.288
0.343,0.372,0.285
0.343,0.367,0.29
0.345,0.368,0.287
0.341,0.371,0.288
0.345,0.368,0.287
0.345,0.368,0.287
0.341,0.371,0.288
0.345,0.368,0.287
0.345,0.368,0.287
0.341,0.371,0.288
0.345,0.368,0.287
0.345,0.368,0.287
0.341,0.371,0.288
0.343,0.367,0.29
0.345,0.368,0.287
0.343,0.372,0.285
0.343,0.367,0.29
0.345,0.368,0.287
0.345,0.368,0.287
0.345,0.368,0.287
0.343,0.367,0.29
0.343,0.372,0.285
0.343,0.372,0.285
0.345,0.368,0.287
0.343,0.366,0.291
0.343,0.366,0.291
0.347,0.364,0.289
0.347,0.364,0.289
0.341,0.371,0.288
0.343,0.372,0.285
0.339,0.368,0.292
0.341,0.37,0.289
0.339,0.368,0.292
0.343,0.366,0.291
0.345,0.368,0.287
0.343,0.366,0.291
0.343,0.372,0.285
0.343,0.366,0.291
0.347,0.364,0.289
0.347,0.364,0.289
0.343,0.372,0.285
0.341,0.37,0.289
0.345,0.368,0.287
0.343,0.366,0.291
0.341,0.37,0.289
0.343,0.366,0.291
0.347,0.364,0.289
0.341,0.37,0.289
0.343,0.366,0.291
0.343,0.366,0.291
0.347,0.364,0.289
0.345,0.368,0.287
0.347,0.364,0.289
0.347,0.364,0.289
0.345,0.368,0.287
0.343,0.366,0.291
0.347,0.364,0.289
0.347,0.364,0.289
0.343,0.366,0.291
0.347,0.364,0.289
0.343,0.366,0.291
0.343,0.366,0.291
0.347,0.364,0.289
0.343,0.366,0.291
0.343,0.366,0.291
0.347,0.364,0.289
0.343,0.366,0.291
0.343,0.366,0.291
0.343,0.366,0.291
0.347,0.364,0.289
0.345,0.368,0.287
0.347,0.364,0.289
0.347,0.364,0.289
0.343,0.366,0.291
0.345,0.368,0.287
