Red,Green,Blue
0.361,0.367,0.272
0.365,0.365,0.27
0.361,0.367,0.272
0.362,0.369,0.268
0.365,0.365,0.27
0.362,0.369,0.268
0.362,0.369,0.268
0.367,0.361,0.272
0.365,0.365,0.27
0.367,0.361,0.272
0.361,0.367,0.272
0.361,0.367,0.272
0.361,0.367,0.272
0.361,0.367,0.272
0.361,0.367,0.272
0.361,0.367,0.272
0.362,0.369,0.268
0.362,0.369,0.268
0.361,0.367,0.272
0.363,0.363,0.274
0.361,0.367,0.272
0.356,0.37,0.274
0.361,0.368,0.271
0.361,0.368,0.271
0.357,0.371,0.273
0.357,0.371,0.273
0.357,0.371,0.273
0.362,0.369,0.27
0.362,0.369,0.27
0.357,0.371,0.271
0.357,0.371,0.271
0.357,0.371,0.271
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.355,0.377,0.268
0.358,0.38,0.263
0.355,0.377,0.268
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.355,0.377,0.268
0.355,0.377,0.268
0.36,0.375,0.265
0.36,0.375,0.265
0.36,0.375,0.265
0.356,0.378,0.267
0.36,0.375,0.265
0.358,0.38,0.263
0.36,0.375,0.265
0.36,0.375,0.265
0.358,0.38,0.263
0.36,0.375,0.265
0.36,0.375,0.265
0.36,0.374,0.266
0.358,0.38,0.263
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.36,0.374,0.266
0.358,0.38,0.263
0.36,0.375,0.265
0.361,0.376,0.263
0.36,0.375,0.265
0.356,0.378,0.267
0.361,0.376,0.263
0.361,0.376,0.263
0.361,0.376,0.263
0.356,0.379,0.265
0.356,0.379,0.265
0.361,0.376,0.263
0.361,0.376,0.263
0.359,0.374,0.267
0.361,0.376,0.263
0.361,0.376,0.263
0.356,0.379,0.265
0.356,0.379,0.265
0.356,0.379,0.265
0.362,0.377,0.262
0.359,0.375,0.266
0.359,0.375,0.266
0.362,0.377,0.262
0.357,0.38,0.264
0.359,0.375,0.266
0.357,0.38,0.264
0.359,0.375,0.266
0.359,0.375,0.266
0.357,0.38,0.264
0.359,0.375,0.266
0.359,0.375,0.266
0.359,0.375,0.266
0.359,0.375,0.266
0.359,0.375,0.266
0.359,0.375,0.266
